Date,Open,High,Low,Close,Volume,Change,Transaction
2022-12-22,58100,59100,58100,59100,10720630,0.018965517241379404,633589233000
2022-12-23,58200,58400,57700,58100,9829407,-0.016920473773265665,571088546700
2022-12-26,58000,58100,57700,57900,6756411,-0.0034423407917383297,391196196900
2022-12-27,58000,58400,57900,58100,10667027,0.003454231433505983,619754268700
2022-12-28,57600,57600,56400,56600,14665410,-0.025817555938037917,830062206000
2022-12-29,56000,56200,55300,55300,11295935,-0.02296819787985871,624665205500
2023-01-02,55500,56100,55200,55500,10031448,0.003616636528029016,556745364000
2023-01-03,55400,56000,54500,55400,13547030,-0.0018018018018017834,750505462000
2023-01-04,55700,58000,55600,57800,20188071,0.04332129963898912,1166870503800
2023-01-05,58200,58800,57600,58200,15682826,0.006920415224913601,912740473200
2023-01-06,58300,59400,57900,59000,17334989,0.013745704467353903,1022764351000
2023-01-09,59700,60700,59600,60700,18640107,0.028813559322034,1131454494900
2023-01-10,60200,61100,59900,60400,14859797,-0.0049423393739703725,897531738800
2023-01-11,61000,61200,60300,60500,12310751,0.0016556291390728006,744800435500
2023-01-12,61100,61200,59900,60500,16102561,0.0,974204940500
2023-01-13,60500,61200,60400,60800,12510328,0.0049586776859504855,760627942400
2023-01-16,61300,61600,60800,61100,10039972,0.004934210526315708,613442289200
2023-01-17,61200,61500,60600,61000,9831456,-0.0016366612111292644,599718816000
2023-01-18,60700,61000,59900,60400,11584041,-0.00983606557377048,699676076400
2023-01-19,60500,61500,60400,61500,12808490,0.01821192052980125,787722135000
2023-01-20,62100,62300,61100,61800,9646327,0.004878048780487809,596143008600
2023-01-25,63500,63700,63000,63400,16822710,0.025889967637540368,1066559814000
2023-01-26,63800,63900,63300,63900,13278277,0.007886435331230235,848481900300
2023-01-27,64400,65000,63900,64600,18760182,0.010954616588419341,1211907757200
2023-01-30,64900,64900,63100,63300,20995234,-0.020123839009287936,1328998312200
2023-01-31,63500,63700,61000,61000,29746731,-0.0363349131121643,1814550591000
2023-02-01,62600,62700,61000,61800,18570133,0.013114754098360715,1147634219400
2023-02-02,63200,63900,62600,63500,23285983,0.027508090614886793,1478659920500
2023-02-03,63900,64000,63000,63800,15194598,0.0047244094488188,969415352400
2023-02-06,62800,63000,61600,61600,15529356,-0.03448275862068961,956608329600
2023-02-07,61900,62500,61600,61900,14491039,0.004870129870129913,896995314100
2023-02-08,62800,63300,62400,63100,12243125,0.01938610662358653,772541187500
2023-02-09,63000,63300,62300,63000,12164865,-0.0015847860538826808,766386495000
2023-02-10,62600,63000,62400,62800,9382576,-0.0031746031746031633,589225772800
2023-02-13,62900,63000,62300,62900,10730362,0.0015923566878981443,674939769800
2023-02-14,63600,63900,63200,63200,9126664,0.004769475357710551,576805164800
2023-02-15,63900,63900,62000,62200,13208103,-0.015822784810126556,821544006600
2023-02-16,62500,63700,62400,63700,13798831,0.02411575562700974,878985534700
2023-02-17,62900,63300,62400,62600,10791265,-0.017268445839874413,675533189000
2023-02-20,62900,63000,61800,62700,12908073,0.0015974440894568342,809336177100
2023-02-21,62700,62800,62000,62100,7665046,-0.009569377990430672,475999356600
2023-02-22,61500,61800,61000,61100,11959088,-0.01610305958132041,730700276800
2023-02-23,61700,62500,61500,62000,13047099,0.014729950900163713,808920138000
2023-02-24,62300,62600,61300,61300,10308143,-0.011290322580645107,631889165900
2023-02-27,60800,60800,60200,60500,11155697,-0.013050570962479635,674919668500
2023-02-28,60800,61400,60500,60600,13715861,0.0016528925619834212,831181176600
2023-03-02,60900,61800,60500,60800,13095682,0.0033003300330032292,796217465600
2023-03-03,61000,61200,60500,60500,10711405,-0.004934210526315819,648040002500
2023-03-06,61100,61600,60800,61500,13630602,0.016528925619834656,838282023000
2023-03-07,61400,61400,60700,60700,11473280,-0.013008130081300862,696428096000
2023-03-08,60100,60500,59900,60300,14161857,-0.00658978583196046,853959977100
2023-03-09,60500,60800,59900,60100,14334499,-0.0033167495854062867,861503389900
2023-03-10,59500,59700,59100,59500,11902471,-0.009983361064891838,708197024500
2023-03-13,59900,60200,59300,60000,12779724,0.008403361344537785,766783440000
2023-03-14,59400,59500,59000,59000,12147346,-0.01666666666666672,716693414000
2023-03-15,60000,60300,59600,59800,10482149,0.013559322033898313,626832510200
2023-03-16,59200,60200,59100,59900,10611939,0.0016722408026756952,635655146100
2023-03-17,60800,61300,60600,61300,14090110,0.023372287145241977,863723743000
2023-03-20,61100,61200,60200,60200,9618009,-0.01794453507340943,579004141800
2023-03-21,60500,60700,60100,60300,8318514,0.0016611295681063787,501606394200
2023-03-22,61000,61200,60500,61100,8978591,0.013266998341625147,548591910100
2023-03-23,60600,62300,60600,62300,15381057,0.019639934533551617,958239851100
2023-03-24,62700,63300,62300,63000,18278602,0.011235955056179803,1151551926000
2023-03-27,62600,62800,62000,62100,11039331,-0.014285714285714235,685542455100
2023-03-28,62400,62900,62100,62900,11614118,0.012882447665056418,730528022200
2023-03-29,62500,62700,62200,62700,11216008,-0.0031796502384737746,703243701600
2023-03-30,63700,63700,63100,63200,15684377,0.00797448165869219,991252626400
2023-03-31,64000,64000,63700,64000,14094479,0.012658227848101333,902046656000
2023-04-03,64000,64000,63000,63100,11973133,-0.014062499999999978,755504692300
2023-04-04,63400,63800,62800,63600,11120514,0.007923930269413626,707264690400
2023-04-05,63700,64000,63400,63900,9176149,0.004716981132075526,586355921100
2023-04-06,63500,63600,62300,62300,14992747,-0.025039123630672955,934048138100
2023-04-07,63800,65200,63800,65000,27476120,0.043338683788122,1785947800000
2023-04-10,64800,66300,64700,65700,18777166,0.010769230769230864,1233659806200
2023-04-11,66200,66200,65400,65900,16323183,0.003044140030441511,1075697759700
2023-04-12,65800,66200,65300,66000,15021313,0.0015174506828528056,991406658000
2023-04-13,65600,66100,65400,66100,15091022,0.0015151515151514694,997516554200
2023-04-14,66600,66600,65000,65100,16176490,-0.015128593040847238,1053089499000
2023-04-17,65000,65600,64700,65300,13486618,0.003072196620583778,880676155400
2023-04-18,65900,66000,64800,65600,14802060,0.004594180704440953,971015136000
2023-04-19,65500,65800,65300,65500,10255985,-0.0015243902439023849,671767017500
2023-04-20,65100,65300,64600,65300,9501169,-0.003053435114503844,620426335700
2023-04-21,65800,65900,65400,65700,10538622,0.006125574272588086,692387465400
2023-04-24,65300,65700,64800,65200,12986581,-0.007610350076103556,846725081200
2023-04-25,65300,65400,63400,63600,16193271,-0.024539877300613466,1029892035600
2023-04-26,63600,64300,63300,64100,12664541,0.007861635220125729,811797078100
2023-04-27,64100,65000,63300,64600,14779601,0.007800312012480548,954762224600
2023-04-28,65200,65900,65000,65500,19699481,0.01393188854489158,1290316005500
2023-05-02,66000,66300,65100,65700,14396948,0.003053435114503733,945879483600
2023-05-03,65100,65600,64900,65400,8876749,-0.004566210045662156,580539384600
2023-05-04,65600,65700,64700,65100,9791064,-0.004587155963302725,637398266400
2023-05-08,66300,66300,65400,65900,9405365,0.01228878648233489,619813553500
2023-05-09,65800,65800,65100,65300,9366861,-0.009104704097116834,611656023300
2023-05-10,65500,65500,64300,64600,13057727,-0.01071975497702915,843529164200
2023-05-11,64700,65100,64200,64200,11648905,-0.006191950464396245,747859701000
2023-05-12,63700,64600,63600,64100,8693913,-0.0015576323987538387,557279823300
2023-05-15,64100,64600,63900,64500,8172021,0.006240249609984483,527095354500
2023-05-16,65800,65900,65300,65400,12334657,0.013953488372093092,806686567800
2023-05-17,65900,65900,64800,65000,10745504,-0.006116207951070374,698457760000
2023-05-18,66000,66200,65700,66200,14431704,0.01846153846153853,955378804800
2023-05-19,67800,68400,67500,68400,20349345,0.0332326283987916,1391895198000
2023-05-22,68400,69000,68000,68500,14470308,0.0014619883040936088,991216098000
2023-05-23,68500,68700,68100,68400,8561643,-0.0014598540145985828,585616381200
2023-05-24,68100,68700,68000,68500,8192896,0.0014619883040936088,561213376000
2023-05-25,69900,70000,68700,68800,14231160,0.004379562043795637,979103808000
