Date,inflation_USA,inflation_kor,inflation_china,unemployment_kor
2020-07-07,2.2664516129032255,0.5119354838709678,0.5,3.9451612903225803
2020-07-08,2.2641935483870967,0.522258064516129,0.5,3.919354838709677
2020-07-09,2.2619354838709675,0.5325806451612903,0.5,3.8935483870967738
2020-07-10,2.2596774193548383,0.5429032258064517,0.5,3.8677419354838705
2020-07-11,2.2574193548387096,0.5532258064516129,0.5,3.8419354838709676
2020-07-12,2.2551612903225804,0.5635483870967742,0.5,3.8161290322580643
2020-07-13,2.2529032258064516,0.5738709677419355,0.5,3.790322580645161
2020-07-14,2.2506451612903224,0.5841935483870968,0.5,3.7645161290322577
2020-07-15,2.2483870967741932,0.594516129032258,0.5,3.7387096774193544
2020-07-16,2.2461290322580645,0.6048387096774194,0.5,3.7129032258064516
2020-07-17,2.2438709677419353,0.6151612903225807,0.5,3.6870967741935483
2020-07-18,2.2416129032258065,0.6254838709677419,0.5,3.661290322580645
2020-07-19,2.2393548387096773,0.6358064516129032,0.5,3.6354838709677417
2020-07-20,2.237096774193548,0.6461290322580645,0.5,3.6096774193548384
2020-07-21,2.2348387096774194,0.6564516129032258,0.5,3.583870967741935
2020-07-22,2.23258064516129,0.6667741935483871,0.5,3.558064516129032
2020-07-23,2.2303225806451614,0.6770967741935484,0.5,3.532258064516129
2020-07-24,2.2280645161290322,0.6874193548387098,0.5,3.5064516129032257
2020-07-25,2.225806451612903,0.697741935483871,0.5,3.4806451612903224
2020-07-26,2.2235483870967743,0.7080645161290322,0.5,3.454838709677419
2020-07-27,2.221290322580645,0.7183870967741935,0.5,3.429032258064516
2020-07-28,2.219032258064516,0.7287096774193549,0.5,3.403225806451613
2020-07-29,2.216774193548387,0.7390322580645161,0.5,3.3774193548387093
2020-07-30,2.214516129032258,0.7493548387096775,0.5,3.3516129032258064
2020-07-31,2.212258064516129,0.7596774193548388,0.5,3.325806451612903
2020-08-01,2.21,0.77,0.5,3.3
2020-08-02,2.2025806451612904,0.7758064516129033,0.5,3.32258064516129
2020-08-03,2.195161290322581,0.7816129032258065,0.5,3.3451612903225807
2020-08-04,2.1877419354838707,0.7874193548387097,0.5,3.367741935483871
2020-08-05,2.180322580645161,0.7932258064516129,0.5,3.390322580645161
2020-08-06,2.1729032258064516,0.7990322580645162,0.5,3.4129032258064513
2020-08-07,2.165483870967742,0.8048387096774193,0.5,3.435483870967742
2020-08-08,2.1580645161290324,0.8106451612903226,0.5,3.458064516129032
2020-08-09,2.1506451612903223,0.8164516129032258,0.5,3.4806451612903224
2020-08-10,2.1432258064516128,0.822258064516129,0.5,3.5032258064516126
2020-08-11,2.135806451612903,0.8280645161290323,0.5,3.5258064516129033
2020-08-12,2.1283870967741936,0.8338709677419355,0.5,3.5483870967741935
2020-08-13,2.120967741935484,0.8396774193548386,0.5,3.5709677419354837
2020-08-14,2.113548387096774,0.8454838709677419,0.5,3.593548387096774
2020-08-15,2.1061290322580644,0.8512903225806452,0.5,3.6161290322580646
2020-08-16,2.0987096774193548,0.8570967741935483,0.5,3.638709677419355
2020-08-17,2.091290322580645,0.8629032258064516,0.5,3.661290322580645
2020-08-18,2.0838709677419356,0.8687096774193548,0.5,3.6838709677419352
2020-08-19,2.0764516129032256,0.8745161290322581,0.5,3.706451612903226
2020-08-20,2.069032258064516,0.8803225806451612,0.5,3.729032258064516
2020-08-21,2.0616129032258064,0.8861290322580645,0.5,3.7516129032258063
2020-08-22,2.054193548387097,0.8919354838709677,0.5,3.7741935483870965
2020-08-23,2.046774193548387,0.8977419354838709,0.5,3.796774193548387
2020-08-24,2.0393548387096776,0.9035483870967742,0.5,3.8193548387096774
2020-08-25,2.0319354838709676,0.9093548387096774,0.5,3.8419354838709676
2020-08-26,2.024516129032258,0.9151612903225806,0.5,3.864516129032258
2020-08-27,2.0170967741935484,0.9209677419354838,0.5,3.8870967741935485
2020-08-28,2.009677419354839,0.9267741935483871,0.5,3.9096774193548387
2020-08-29,2.002258064516129,0.9325806451612902,0.5,3.932258064516129
2020-08-30,1.9948387096774194,0.9383870967741935,0.5,3.9548387096774196
2020-08-31,1.9874193548387096,0.9441935483870967,0.5,3.97741935483871
2020-09-01,1.98,0.95,0.5,4.0
2020-09-02,1.9723333333333333,0.9229999999999999,0.5,4.006666666666667
2020-09-03,1.9646666666666666,0.8959999999999999,0.5,4.013333333333334
2020-09-04,1.957,0.869,0.5,4.02
2020-09-05,1.9493333333333334,0.842,0.5,4.026666666666666
2020-09-06,1.9416666666666667,0.815,0.5,4.033333333333333
2020-09-07,1.934,0.7879999999999999,0.5,4.04
2020-09-08,1.9263333333333332,0.7609999999999999,0.5,4.046666666666667
2020-09-09,1.9186666666666667,0.734,0.5,4.053333333333334
2020-09-10,1.911,0.707,0.5,4.0600000000000005
2020-09-11,1.9033333333333333,0.6799999999999999,0.5,4.066666666666666
2020-09-12,1.8956666666666666,0.653,0.5,4.073333333333333
2020-09-13,1.888,0.6259999999999999,0.5,4.08
2020-09-14,1.8803333333333334,0.599,0.5,4.086666666666667
2020-09-15,1.8726666666666667,0.572,0.5,4.093333333333334
2020-09-16,1.865,0.5449999999999999,0.5,4.1
2020-09-17,1.8573333333333333,0.518,0.5,4.1066666666666665
2020-09-18,1.8496666666666666,0.49099999999999994,0.5,4.113333333333333
2020-09-19,1.842,0.46399999999999997,0.5,4.12
2020-09-20,1.8343333333333334,0.43699999999999994,0.5,4.126666666666667
2020-09-21,1.8266666666666667,0.4099999999999999,0.5,4.133333333333334
2020-09-22,1.819,0.383,0.5,4.140000000000001
2020-09-23,1.8113333333333332,0.356,0.5,4.1466666666666665
2020-09-24,1.8036666666666668,0.32899999999999996,0.5,4.153333333333333
2020-09-25,1.796,0.30199999999999994,0.5,4.16
2020-09-26,1.7883333333333333,0.2749999999999999,0.5,4.166666666666667
2020-09-27,1.7806666666666666,0.248,0.5,4.173333333333334
2020-09-28,1.773,0.22099999999999997,0.5,4.18
2020-09-29,1.7653333333333334,0.19399999999999995,0.5,4.1866666666666665
